,name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
182,new york,2021-09-08 14,28.3,30.3,20.6,63.04,0.0,0,,0.0,0.0,33.7,17.8,200.0,1010.6,82.4,16.0,462.0,1.7,5,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
183,new york,2021-09-08 15,28.7,30.8,20.6,61.59,0.0,0,,0.0,0.0,29.9,16.4,190.0,1009.6,52.4,16.0,288.0,1.0,3,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
184,new york,2021-09-08 16,27.8,30.0,21.1,67.06,0.0,0,,0.0,0.0,37.2,27.3,171.0,1009.0,2.4,16.0,470.0,1.7,5,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
185,new york,2021-09-08 17,27.8,29.9,21.1,67.25,0.0,0,,0.0,0.0,75.4,20.3,190.0,1009.0,52.1,16.0,232.0,0.8,2,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
186,new york,2021-09-08 18,27.1,29.0,21.1,69.88,0.0,0,,0.0,0.0,32.4,24.3,180.0,1009.3,1.2,16.0,199.0,0.7,2,,Clear,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
187,new york,2021-09-08 19,25.6,25.6,21.1,76.34,0.0,0,,0.0,0.0,50.8,11.1,200.0,1009.2,87.5,16.0,56.0,0.2,1,,Partially cloudy,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
188,new york,2021-09-08 20,24.3,24.3,21.1,82.29,0.0,0,,0.0,0.0,40.7,10.9,200.0,1008.9,1.2,16.0,3.0,0.0,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,72503014732"
189,new york,2021-09-08 21,23.9,23.9,20.6,82.09,0.0,0,,0.0,0.0,35.3,10.9,69.0,1009.1,1.2,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
190,new york,2021-09-08 22,23.9,23.9,20.6,81.94,0.0,0,,0.0,0.0,,9.6,229.0,1008.9,1.2,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
191,new york,2021-09-08 23,23.9,23.9,20.6,82.24,0.0,0,,0.0,0.0,,12.8,219.0,1009.2,98.6,16.0,0.0,,0,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
192,new york,2021-09-09 00,23.9,23.9,20.6,82.2,0.0,0,,0.0,0.0,,7.6,180.0,1009.1,27.2,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
193,new york,2021-09-09 01,24.4,24.4,20.0,76.45,0.0,0,,0.0,0.0,,9.4,259.0,1008.6,88.1,16.0,0.0,,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
194,new york,2021-09-09 02,23.4,23.4,21.1,87.04,0.712,100,rain,0.0,0.0,,14.8,250.0,1008.8,100.0,13.0,0.0,,0,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
195,new york,2021-09-09 03,22.9,22.9,21.0,89.49,0.03,100,rain,0.0,0.0,77.8,5.5,192.0,1007.8,29.7,16.0,0.0,,0,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
196,new york,2021-09-09 04,22.2,22.2,18.4,78.95,0.0,0,,0.0,0.0,51.8,0.2,358.0,1008.1,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
197,new york,2021-09-09 05,22.1,22.1,18.3,79.16,0.0,0,,0.0,0.0,47.9,10.5,53.0,1007.9,1.5,16.0,0.0,,0,,Clear,clear-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
198,new york,2021-09-09 06,22.1,22.1,18.8,81.44,0.0,0,,0.0,0.0,,7.6,261.0,1008.6,49.6,16.0,2.0,0.0,0,,Partially cloudy,partly-cloudy-night,"72505394728,72055399999,KLGA,KJRB,KNYC,72503014732"
199,new york,2021-09-09 07,21.1,21.1,19.3,89.42,0.536,100,rain,0.0,0.0,50.0,7.4,261.0,1009.3,84.7,15.7,10.0,0.0,0,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
200,new york,2021-09-09 08,21.2,21.2,19.4,89.44,0.235,100,rain,0.0,0.0,,5.4,258.0,1009.0,98.8,15.5,22.0,0.1,0,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
201,new york,2021-09-09 09,21.2,21.2,19.4,89.64,1.019,100,rain,0.0,0.0,47.9,7.6,220.0,1008.9,89.4,15.4,39.0,0.1,0,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
202,new york,2021-09-09 10,21.2,21.2,19.8,91.74,0.748,100,rain,0.0,0.0,68.4,9.4,239.0,1009.3,99.9,15.5,49.0,0.2,0,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
203,new york,2021-09-09 11,21.1,21.1,19.8,91.87,0.266,100,rain,0.0,0.0,,11.1,249.0,1009.7,100.0,15.5,85.0,0.3,1,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
204,new york,2021-09-09 12,21.2,21.2,19.7,91.23,0.3,100,rain,0.0,0.0,,9.2,0.0,1008.5,100.0,15.5,133.0,0.5,1,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
205,new york,2021-09-09 13,22.1,22.1,20.0,87.61,0.247,100,rain,0.0,0.0,44.6,6.3,232.0,1008.7,88.5,15.5,280.0,1.0,3,,"Rain, Partially cloudy",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
206,new york,2021-09-09 14,22.2,22.2,19.4,84.24,0.0,0,,0.0,0.0,,7.4,241.0,1008.7,99.9,15.7,96.0,0.3,1,,Overcast,cloudy,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
207,new york,2021-09-09 15,21.7,21.7,19.3,86.67,0.022,100,rain,0.0,0.0,44.6,5.8,253.0,1008.1,100.0,15.6,56.0,0.2,1,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
208,new york,2021-09-09 16,21.7,21.7,20.0,90.1,0.031,100,rain,0.0,0.0,,7.7,245.0,1007.4,100.0,15.7,96.0,0.3,1,,"Rain, Overcast",rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
